Learning_Rate,Batch_Size,Patch_Size,Depth,Hidden_Nodes,Accuracy,Auc,Steps,Time
0.001,32,3,8,16,88.8800024986,0.930304,20000,666.8397650718689
0.001,32,3,8,32,89.099997282,0.930953,20000,668.1925389766693
0.001,32,3,8,64,88.9199972153,0.931477,20000,677.2412180900574
0.001,32,3,8,128,88.789999485,0.933974,20000,664.6141958236694
0.001,32,3,8,256,87.9499971867,0.92704,20000,673.5402266979218
0.001,32,3,16,16,89.2300009727,0.9296,20000,793.9994382858276
0.001,32,3,16,32,89.2400026321,0.933797,20000,809.2204501628876
0.001,32,3,16,64,89.1099989414,0.932081,20000,820.2812094688416
0.001,32,3,16,128,88.7399971485,0.930405,20000,811.6402368545532
0.001,32,3,16,256,88.2799983025,0.931749,20000,828.4399704933167
0.001,32,3,32,16,89.050000906,0.925949,20000,1367.2405099868774
0.001,32,3,32,32,88.8800024986,0.931867,20000,1380.3153948783875
0.001,32,3,32,64,80.3499996662,0.793279,300,26.615848064422607
0.001,32,3,32,128,88.4700000286,0.929832,20000,1423.5899920463562
0.001,32,3,32,256,88.6200010777,0.93066,20000,1507.027173280716
0.001,32,5,8,16,89.4100010395,0.935965,20000,1012.0411024093628
0.001,32,5,8,32,89.3499970436,0.931701,20000,1016.6424736976624
0.001,32,5,8,64,88.9900028706,0.935219,20000,1040.6021218299866
0.001,32,5,8,128,89.4200026989,0.934569,20000,1011.9105923175812
0.001,32,5,8,256,89.1399979591,0.933938,20000,1012.6751549243927
0.001,32,5,16,16,89.3700003624,0.935066,20000,1712.0618042945862
0.001,32,5,16,32,89.5399987698,0.93516,20000,1690.6703476905823
0.001,32,5,16,64,89.2599999905,0.932096,20000,1697.2029402256012
0.001,32,5,16,128,88.220000267,0.933084,20000,1698.288512468338
0.001,32,5,16,256,89.0600025654,0.929894,20000,1744.1799194812775
0.001,32,5,32,16,89.099997282,0.932222,20000,2717.494729757309
0.001,32,5,32,32,88.8499975204,0.931599,20000,2753.9809606075287
0.001,32,5,32,64,89.0299975872,0.932728,20000,2771.2449131011963
0.001,32,5,32,128,88.7399971485,0.930019,20000,2652.0963530540466
0.001,32,5,32,256,87.4300003052,0.918605,20000,2780.972874403
0.001,64,3,8,16,88.3899986744,0.935286,20000,1031.7880940437317
0.001,64,3,8,32,89.1300022602,0.93527,20000,1048.6969273090363
0.001,64,3,8,64,89.3199980259,0.939415,20000,1033.3341844081879
0.001,64,3,8,128,88.3700013161,0.93835,20000,1050.8383014202118
0.001,64,3,8,256,88.5100007057,0.939115,19600,1020.6195333003998
0.001,64,3,16,16,89.209997654,0.932723,20000,1110.257975101471
0.001,64,3,16,32,89.0399992466,0.937695,20000,1134.1683707237244
0.001,64,3,16,64,88.9299988747,0.93817,20000,1132.7731943130493
0.001,64,3,16,128,88.6500000954,0.936089,20000,1160.9768624305725
0.001,64,3,16,256,88.4000003338,0.937094,19550,1161.6852357387543
0.001,64,3,32,16,89.7000014782,0.9333,20000,1967.691906452179
0.001,64,3,32,32,89.209997654,0.934828,20000,2020.0555260181427
0.001,64,3,32,64,89.0100002289,0.936139,20000,2024.4399230480194
0.001,64,3,32,128,88.5599970818,0.937514,20000,2098.1375365257263
0.001,64,3,32,256,89.0100002289,0.9336,16550,1841.6595647335052
0.001,64,5,8,16,89.2599999905,0.937623,20000,1575.4368298053741
0.001,64,5,8,32,89.509999752,0.940649,20000,1574.214030265808
0.001,64,5,8,64,89.0699982643,0.94075,20000,1592.766434431076
0.001,64,5,8,128,89.050000906,0.936313,20000,1653.8058474063873
0.001,64,5,8,256,89.0699982643,0.938261,20000,1665.5023097991943
0.001,64,5,16,16,89.7800028324,0.940758,20000,2790.275211572647
0.001,64,5,16,32,89.6099984646,0.939897,20000,2831.934652328491
0.001,64,5,16,64,88.7000024319,0.939227,20000,2567.6450929641724
0.001,64,5,16,128,88.529998064,0.933086,20000,2402.5109486579895
0.001,64,5,16,256,87.8199994564,0.934784,20000,2489.4124410152435
0.001,64,5,32,16,88.9599978924,0.934467,20000,3995.980651140213
0.001,64,5,32,32,89.3899977207,0.935074,20000,4229.916815519333
